"","release","book","chapter","page","chapter_num","page_num"
"24","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 3 - Examining Distributions","3.7 The Five-Number Summary",3,7
"25","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 3 - Examining Distributions","3.8 Boxplots and the Five-Number Summary",3,8
"26","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 3 - Examining Distributions","3.9 Exploring Variation in Categorical Variables",3,9
"27","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 3 - Examining Distributions","3.10 Chapter 3 Review Questions",3,10
"28","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 4 - Explaining Variation","4.1 Welcome to Explaining Variation",4,1
"29","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 4 - Explaining Variation","4.2 Explaining One Variable with Another",4,2
"30","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 4 - Explaining Variation","4.3 Outcome and Explanatory Variables",4,3
"31","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 4 - Explaining Variation","4.4 More Ways to Visualize Relationships: Point and Jitter Plots",4,4
"32","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 4 - Explaining Variation","4.5 Even More Ways: Putting these Plots Together",4,5
"33","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 4 - Explaining Variation","4.6 Representing Relationships Among Variables",4,6
"34","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 4 - Explaining Variation","4.7 Sources of Variation",4,7
"35","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 4 - Explaining Variation","4.8 Randomness",4,8
"36","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 4 - Explaining Variation","4.9 From Categorical to Quantitative Explanatory Variables",4,9
"37","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 4 - Explaining Variation","4.10 Quantitative Explanatory Variables",4,10
"38","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 5 - A Simple Model","5.1 What is a Model, and Why Would We Want One?",5,1
"39","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 5 - A Simple Model","5.2 Modeling a Distribution as a Single Number",5,2
"40","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 5 - A Simple Model","5.3 Median vs. Mean as a Model",5,3
"41","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 5 - A Simple Model","5.4 Exploring the Mean",5,4
"42","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 5 - A Simple Model","5.5 Fitting the Empty Model",5,5
"43","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 5 - A Simple Model","5.6 Generating Predictions from the Empty Model",5,6
"44","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 5 - A Simple Model","5.7 Thinking About Error",5,7
"45","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 5 - A Simple Model","5.8 The World of Mathematical Notation",5,8
"46","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 5 - A Simple Model","5.9 DATA = MODEL + ERROR: Notation",5,9
"47","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 5 - A Simple Model","5.10 Summarizing Where We Are",5,10
"48","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 6 - Quantifying Error","6.1 Quantifying Total Error Around a Model",6,1
"49","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 6 - Quantifying Error","6.2 The Beauty of Sum of Squares",6,2
"50","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 6 - Quantifying Error","6.3 Variance",6,3
"51","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 6 - Quantifying Error","6.4 Standard Deviation",6,4
"52","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 6 - Quantifying Error","6.5 Z-Scores",6,5
"53","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 6 - Quantifying Error","6.6 Interpreting and Using Z-Scores",6,6
"54","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 6 - Quantifying Error","6.7 Modeling the Shape of the Error Distribution",6,7
"55","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 6 - Quantifying Error","6.8 Modeling Error with the Normal Distribution",6,8
"56","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 6 - Quantifying Error","6.9 Using the Normal Model to Make Predictions",6,9
"57","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 6 - Quantifying Error","6.10 Getting Familiar with the Normal Distribution",6,10
"58","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 7 - Adding an Explanatory Variable to the Model","7.1 Explaining Variation",7,1
"59","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 7 - Adding an Explanatory Variable to the Model","7.2 Using R to Fit the Group Model",7,2
"60","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 7 - Adding an Explanatory Variable to the Model","7.3 GLM Notation for the Group Model",7,3
"61","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 7 - Adding an Explanatory Variable to the Model","7.4 How the Model Makes Predictions",7,4
"62","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 7 - Adding an Explanatory Variable to the Model","7.5 Error Leftover From the Group Model",7,5
"63","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 7 - Adding an Explanatory Variable to the Model","7.6 Graphing Residuals From the Model",7,6
"64","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 7 - Adding an Explanatory Variable to the Model","7.7 Error Reduced by the Group Model",7,7
"65","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 7 - Adding an Explanatory Variable to the Model","7.8 Using SS Error to Compare Group to Empty Model",7,8
"66","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 7 - Adding an Explanatory Variable to the Model","7.9 Partitioning Sums of Squares into Model and Error",7,9
"67","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 7 - Adding an Explanatory Variable to the Model","7.10 Using Proportional Reduction in Error (PRE) to Compare Two Models",7,10
"68","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 8 - Digging Deeper into Group Models","8.1 Extending to a Three-Group Model",8,1
"69","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 8 - Digging Deeper into Group Models","8.2 Fitting and Interpreting the Three-Group Model",8,2
"70","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 8 - Digging Deeper into Group Models","8.3 Comparing the Fit of the Two- and Three-Group Models",8,3
"71","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 8 - Digging Deeper into Group Models","8.4 The F Ratio",8,4
"72","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 8 - Digging Deeper into Group Models","8.5 Modeling the DGP",8,5
"73","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 8 - Digging Deeper into Group Models","8.6 Using Shuffle to Compare Models of the DGP",8,6
"74","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 8 - Digging Deeper into Group Models","8.7 Measures of Effect Size",8,7
"75","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 8 - Digging Deeper into Group Models","8.8 Chapter 8 Review Questions",8,8
"76","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 9 - Models with a Quantitative Explanatory Variable","9.1 Using a Quantitative Explanatory Variable in a Model",9,1
"77","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 9 - Models with a Quantitative Explanatory Variable","9.2 Specifying the Height Model with GLM Notation",9,2
"78","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 9 - Models with a Quantitative Explanatory Variable","9.3 Interpreting the Parameter Estimates for a Regression Model",9,3
"79","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 9 - Models with a Quantitative Explanatory Variable","9.4 Comparing Regression Models to Group Models",9,4
"80","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 9 - Models with a Quantitative Explanatory Variable","9.5 Error from the Height Model",9,5
"81","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 9 - Models with a Quantitative Explanatory Variable","9.6 Sums of Squares in the ANOVA Table",9,6
"82","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 9 - Models with a Quantitative Explanatory Variable","9.7 Assessing Model Fit with PRE and F",9,7
"83","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 9 - Models with a Quantitative Explanatory Variable","9.8 Correlation",9,8
"84","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 9 - Models with a Quantitative Explanatory Variable","9.9 More on Pearson's R",9,9
"85","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 9 - Models with a Quantitative Explanatory Variable","9.10 Using Shuffle to Interpret the Slope of a Regression Line",9,10
"86","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 10 - The Logic of Inference","10.1 The Problem of Inference",10,1
"87","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 10 - The Logic of Inference","10.2 Constructing a Sampling Distribution",10,2
"88","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 10 - The Logic of Inference","10.3 Exploring the Sampling Distribution of b1",10,3
"89","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 10 - The Logic of Inference","10.4 The p-Value",10,4
"90","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 10 - The Logic of Inference","10.5 A Mathematical Model of the Sampling Distribution of b1",10,5
"91","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 10 - The Logic of Inference","10.6 Things That Affect p-Value",10,6
"92","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 10 - The Logic of Inference","10.7 Hypothesis Testing for Regression Models",10,7
"93","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 11 - Model Comparison with F","11.1 Moving Beyond b1",11,1
"94","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 11 - Model Comparison with F","11.2 Sampling Distributions of PRE and F",11,2
"95","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 11 - Model Comparison with F","11.3 The Sampling Distribution of F",11,3
"96","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 11 - Model Comparison with F","11.4 The F-Distribution: A Mathematical Model of the Sampling Distribution of F",11,4
"97","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 11 - Model Comparison with F","11.5 Using F to Test a Regression Model",11,5
"98","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 11 - Model Comparison with F","11.6 Type I and Type II Error",11,6
"99","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 11 - Model Comparison with F","11.7 Using F to Compare Multiple Groups",11,7
"100","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 11 - Model Comparison with F","11.8 Pairwise Comparisons",11,8
"101","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 12 - Parameter Estimation and Confidence Intervals","12.1 From Hypothesis Testing to Confidence Intervals",12,1
"102","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 12 - Parameter Estimation and Confidence Intervals","12.2 Using Bootstrapping to Calculate the 95% Confidence Interval",12,2
"103","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 12 - Parameter Estimation and Confidence Intervals","12.3 Shuffle, Resample, and Standard Error",12,3
"104","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 12 - Parameter Estimation and Confidence Intervals","12.4 Interpreting the Confidence Interval",12,4
"105","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 12 - Parameter Estimation and Confidence Intervals","12.5 Confidence Intervals for Other Parameters",12,5
"106","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 12 - Parameter Estimation and Confidence Intervals","12.6 What Affects the Width of the Confidence Interval",12,6
"107","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 2 - Understanding Data","2.11 Chapter 2 Review Questions 2",2,11
"108","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 3 - Examining Distributions","3.11 Chapter 3 Review Questions 2",3,11
"109","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 4 - Explaining Variation","4.11 Research Design",4,11
"110","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 4 - Explaining Variation","4.12 Considering Randomness as a Possible DGP",4,12
"111","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 4 - Explaining Variation","4.13 Shuffling Can Help Us Understand Real Data Better",4,13
"112","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 4 - Explaining Variation","4.14 Quantifying the Data Generating Process",4,14
"113","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 4 - Explaining Variation","4.15 Chapter 4 Review Questions",4,15
"114","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 4 - Explaining Variation","4.16 Chapter 4 Review Questions 2",4,16
"115","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 5 - A Simple Model","5.11 Chapter 5 Review Questions",5,11
"116","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 5 - A Simple Model","5.12 Chapter 5 Review Questions 2",5,12
"117","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 6 - Quantifying Error","6.11 The Empirical Rule",6,11
"118","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 6 - Quantifying Error","6.12 Next Up: Explaining Error",6,12
"119","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 6 - Quantifying Error","6.13 Chapter 6 Review Questions",6,13
"120","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 6 - Quantifying Error","6.14 Chapter 6 Review Questions 2",6,14
"121","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 7 - Adding an Explanatory Variable to the Model","7.11 Chapter 7 Review Questions ",7,11
"122","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 9 - Models with a Quantitative Explanatory Variable","9.11 Limitations to Keep in Mind",9,11
"123","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 9 - Models with a Quantitative Explanatory Variable","9.12 Chapter 9 Review Questions",9,12
"124","v5.0-exp1","College / Statistics and Data Science (ABC)","Chapter 9 - Models with a Quantitative Explanatory Variable","9.13 Chapter 9 Review Questions 2",9,13
"125","v5.0","College / Statistics and Data Science (ABC)","Chapter 1 - Welcome to Statistics: A Modeling Approach","1.1 Welcome to Statistics",1,1
"126","v5.0","College / Statistics and Data Science (ABC)","Chapter 1 - Welcome to Statistics: A Modeling Approach","1.2 What is Understanding?",1,2
"127","v5.0","College / Statistics and Data Science (ABC)","Chapter 1 - Welcome to Statistics: A Modeling Approach","1.4 Introduction to R Functions",1,4
"128","v5.0","College / Statistics and Data Science (ABC)","Chapter 1 - Welcome to Statistics: A Modeling Approach","1.5 Save Your Work in R Objects",1,5
"129","v5.0","College / Statistics and Data Science (ABC)","Chapter 3 - Examining Distributions","3.6 The Back and Forth Between Data and the DGP (Continued)",3,6
"130","v5.0","College / Statistics and Data Science (ABC)","Chapter 1 - Welcome to Statistics: A Modeling Approach","1.3 Doing Statistics with R",1,3
"131","v5.0","College / Statistics and Data Science (ABC)","Chapter 1 - Welcome to Statistics: A Modeling Approach","1.6 Goals of This Course",1,6
"132","v5.0","College / Statistics and Data Science (ABC)","Chapter 1 - Welcome to Statistics: A Modeling Approach","1.7 Chapter 1 Review Questions",1,7
"133","v5.0","College / Statistics and Data Science (ABC)","Chapter 2 - Understanding Data","2.1 Starting with a Bunch of Numbers",2,1
"134","v5.0","College / Statistics and Data Science (ABC)","Chapter 2 - Understanding Data","2.2 From Numbers to Data",2,2
"135","v5.0","College / Statistics and Data Science (ABC)","Chapter 2 - Understanding Data","2.3 A Data Frame Example: MindsetMatters",2,3
"136","v5.0","College / Statistics and Data Science (ABC)","Chapter 2 - Understanding Data","2.4 Measurement",2,4
"137","v5.0","College / Statistics and Data Science (ABC)","Chapter 3 - Examining Distributions","3.1 The Concept of Distribution",3,1
"138","v5.0","College / Statistics and Data Science (ABC)","Chapter 3 - Examining Distributions","3.2 Visualizing Distributions with Histograms",3,2
"139","v5.0","College / Statistics and Data Science (ABC)","Chapter 3 - Examining Distributions","3.3 Shape, Center, Spread, and Weird Things",3,3
"140","v5.0","College / Statistics and Data Science (ABC)","Chapter 3 - Examining Distributions","3.4 The Data Generating Process",3,4
"141","v5.0","College / Statistics and Data Science (ABC)","Chapter 3 - Examining Distributions","3.5 The Back and Forth Between Data and the DGP",3,5
"142","v5.0","College / Statistics and Data Science (ABC)","Chapter 3 - Examining Distributions","3.7 The Five-Number Summary",3,7
"143","v5.0","College / Statistics and Data Science (ABC)","Chapter 3 - Examining Distributions","3.8 Boxplots and the Five-Number Summary",3,8
"144","v5.0","College / Statistics and Data Science (ABC)","Chapter 3 - Examining Distributions","3.10 Chapter 3 Review Questions",3,10
"145","v5.0","College / Statistics and Data Science (ABC)","Chapter 5 - A Simple Model","5.4 Exploring the Mean",5,4
"146","v5.0","College / Statistics and Data Science (ABC)","Chapter 5 - A Simple Model","5.5 Fitting the Empty Model",5,5
"147","v5.0","College / Statistics and Data Science (ABC)","Chapter 5 - A Simple Model","5.6 Generating Predictions from the Empty Model",5,6
"148","v5.0","College / Statistics and Data Science (ABC)","Chapter 5 - A Simple Model","5.7 Thinking About Error",5,7
"149","v5.0","College / Statistics and Data Science (ABC)","Chapter 5 - A Simple Model","5.8 The World of Mathematical Notation",5,8
"150","v5.0","College / Statistics and Data Science (ABC)","Chapter 5 - A Simple Model","5.9 DATA = MODEL + ERROR: Notation",5,9
"151","v5.0","College / Statistics and Data Science (ABC)","Chapter 5 - A Simple Model","5.10 Summarizing Where We Are",5,10
"152","v5.0","College / Statistics and Data Science (ABC)","Chapter 6 - Quantifying Error","6.1 Quantifying Total Error Around a Model",6,1
"153","v5.0","College / Statistics and Data Science (ABC)","Chapter 6 - Quantifying Error","6.2 The Beauty of Sum of Squares",6,2
"154","v5.0","College / Statistics and Data Science (ABC)","Chapter 6 - Quantifying Error","6.3 Variance",6,3
"155","v5.0","College / Statistics and Data Science (ABC)","Chapter 6 - Quantifying Error","6.4 Standard Deviation",6,4
"156","v5.0","College / Statistics and Data Science (ABC)","Chapter 6 - Quantifying Error","6.5 Z-Scores",6,5
"157","v5.0","College / Statistics and Data Science (ABC)","Chapter 6 - Quantifying Error","6.6 Interpreting and Using Z-Scores",6,6
"158","v5.0","College / Statistics and Data Science (ABC)","Chapter 6 - Quantifying Error","6.7 Modeling the Shape of the Error Distribution",6,7
"159","v5.0","College / Statistics and Data Science (ABC)","Chapter 6 - Quantifying Error","6.8 Modeling Error with the Normal Distribution",6,8
"160","v5.0","College / Statistics and Data Science (ABC)","Chapter 7 - Adding an Explanatory Variable to the Model","7.1 Explaining Variation",7,1
"161","v5.0","College / Statistics and Data Science (ABC)","Chapter 7 - Adding an Explanatory Variable to the Model","7.2 Using R to Fit the Group Model",7,2
"162","v5.0","College / Statistics and Data Science (ABC)","Chapter 8 - Digging Deeper into Group Models","8.1 Extending to a Three-Group Model",8,1
"163","v5.0","College / Statistics and Data Science (ABC)","Chapter 8 - Digging Deeper into Group Models","8.2 Fitting and Interpreting the Three-Group Model",8,2
"164","v5.0","College / Statistics and Data Science (ABC)","Chapter 8 - Digging Deeper into Group Models","8.3 Comparing the Fit of the Two- and Three-Group Models",8,3
"165","v5.0","College / Statistics and Data Science (ABC)","Chapter 8 - Digging Deeper into Group Models","8.5 Modeling the DGP",8,5
"166","v5.0","College / Statistics and Data Science (ABC)","Chapter 8 - Digging Deeper into Group Models","8.8 Chapter 8 Review Questions",8,8
"167","v5.0","College / Statistics and Data Science (ABC)","Chapter 9 - Models with a Quantitative Explanatory Variable","9.1 Using a Quantitative Explanatory Variable in a Model",9,1
"168","v5.0","College / Statistics and Data Science (ABC)","Chapter 9 - Models with a Quantitative Explanatory Variable","9.2 Specifying the Height Model with GLM Notation",9,2
"169","v5.0","College / Statistics and Data Science (ABC)","Chapter 9 - Models with a Quantitative Explanatory Variable","9.3 Interpreting the Parameter Estimates for a Regression Model",9,3
"170","v5.0","College / Statistics and Data Science (ABC)","Chapter 9 - Models with a Quantitative Explanatory Variable","9.4 Comparing Regression Models to Group Models",9,4
"171","v5.0","College / Statistics and Data Science (ABC)","Chapter 9 - Models with a Quantitative Explanatory Variable","9.5 Error from the Height Model",9,5
"172","v5.0","College / Statistics and Data Science (ABC)","Chapter 9 - Models with a Quantitative Explanatory Variable","9.6 Sums of Squares in the ANOVA Table",9,6
"173","v5.0","College / Statistics and Data Science (ABC)","Chapter 9 - Models with a Quantitative Explanatory Variable","9.7 Assessing Model Fit with PRE and F",9,7
"174","v5.0","College / Statistics and Data Science (ABC)","Chapter 10 - The Logic of Inference","10.7 Hypothesis Testing for Regression Models",10,7
"175","v5.0","College / Statistics and Data Science (ABC)","Chapter 3 - Examining Distributions","3.11 Chapter 3 Review Questions 2",3,11
"176","v5.0","College / Statistics and Data Science (ABC)","Chapter 5 - A Simple Model","5.11 Chapter 5 Review Questions",5,11
"177","v5.0","College / Statistics and Data Science (ABC)","Chapter 5 - A Simple Model","5.12 Chapter 5 Review Questions 2",5,12
"178","v5.0","College / Statistics and Data Science (ABC)","Chapter 6 - Quantifying Error","6.12 Next Up: Explaining Error",6,12
"179","v5.0","College / Statistics and Data Science (ABC)","Chapter 6 - Quantifying Error","6.13 Chapter 6 Review Questions",6,13
"180","v5.0","College / Statistics and Data Science (ABC)","Chapter 2 - Understanding Data","2.5 Measurement (Continued)",2,5
"181","v5.0","College / Statistics and Data Science (ABC)","Chapter 2 - Understanding Data","2.6 Sampling from a Population",2,6
"182","v5.0","College / Statistics and Data Science (ABC)","Chapter 2 - Understanding Data","2.7 The Structure of Data",2,7
"183","v5.0","College / Statistics and Data Science (ABC)","Chapter 2 - Understanding Data","2.8 Manipulating Data",2,8
"184","v5.0","College / Statistics and Data Science (ABC)","Chapter 2 - Understanding Data","2.9 Summary",2,9
"185","v5.0","College / Statistics and Data Science (ABC)","Chapter 2 - Understanding Data","2.10 Chapter 2 Review Questions",2,10
"186","v5.0","College / Statistics and Data Science (ABC)","Chapter 3 - Examining Distributions","3.9 Exploring Variation in Categorical Variables",3,9
"187","v5.0","College / Statistics and Data Science (ABC)","Chapter 4 - Explaining Variation","4.1 Welcome to Explaining Variation",4,1
"188","v5.0","College / Statistics and Data Science (ABC)","Chapter 4 - Explaining Variation","4.2 Explaining One Variable with Another",4,2
"189","v5.0","College / Statistics and Data Science (ABC)","Chapter 4 - Explaining Variation","4.3 Outcome and Explanatory Variables",4,3
"190","v5.0","College / Statistics and Data Science (ABC)","Chapter 4 - Explaining Variation","4.4 More Ways to Visualize Relationships: Point and Jitter Plots",4,4
"191","v5.0","College / Statistics and Data Science (ABC)","Chapter 4 - Explaining Variation","4.5 Even More Ways: Putting these Plots Together",4,5
"192","v5.0","College / Statistics and Data Science (ABC)","Chapter 4 - Explaining Variation","4.6 Representing Relationships Among Variables",4,6
"193","v5.0","College / Statistics and Data Science (ABC)","Chapter 4 - Explaining Variation","4.7 Sources of Variation",4,7
"194","v5.0","College / Statistics and Data Science (ABC)","Chapter 4 - Explaining Variation","4.8 Randomness",4,8
"195","v5.0","College / Statistics and Data Science (ABC)","Chapter 4 - Explaining Variation","4.9 From Categorical to Quantitative Explanatory Variables",4,9
"196","v5.0","College / Statistics and Data Science (ABC)","Chapter 4 - Explaining Variation","4.10 Quantitative Explanatory Variables",4,10
"197","v5.0","College / Statistics and Data Science (ABC)","Chapter 5 - A Simple Model","5.1 What is a Model, and Why Would We Want One?",5,1
"198","v5.0","College / Statistics and Data Science (ABC)","Chapter 5 - A Simple Model","5.2 Modeling a Distribution as a Single Number",5,2
"199","v5.0","College / Statistics and Data Science (ABC)","Chapter 5 - A Simple Model","5.3 Median vs. Mean as a Model",5,3
"200","v5.0","College / Statistics and Data Science (ABC)","Chapter 6 - Quantifying Error","6.9 Using the Normal Model to Make Predictions",6,9
"201","v5.0","College / Statistics and Data Science (ABC)","Chapter 6 - Quantifying Error","6.10 Getting Familiar with the Normal Distribution",6,10
"202","v5.0","College / Statistics and Data Science (ABC)","Chapter 7 - Adding an Explanatory Variable to the Model","7.3 GLM Notation for the Group Model",7,3
"203","v5.0","College / Statistics and Data Science (ABC)","Chapter 7 - Adding an Explanatory Variable to the Model","7.4 How the Model Makes Predictions",7,4
"204","v5.0","College / Statistics and Data Science (ABC)","Chapter 7 - Adding an Explanatory Variable to the Model","7.5 Error Leftover From the Group Model",7,5
"205","v5.0","College / Statistics and Data Science (ABC)","Chapter 7 - Adding an Explanatory Variable to the Model","7.6 Graphing Residuals From the Model",7,6
