"","book","release","chapter","page","variable_name","old_name","order","vector","item_id","lrn_question_reference","lrn_activity_reference","lrn_question_position","item_type","lrn_type","prompt","lrn_option_0","lrn_option_1","lrn_option_2","lrn_option_3","lrn_option_4","lrn_option_5","lrn_option_6","lrn_option_7","lrn_option_8","lrn_option_9","lrn_option_10","lrn_option_11"
"11","College / Statistics and Data Science (ABC)","v4.0","Chapter 4 - Explaining Variation","4.13 Quantifying the Data Generating Process","im2_2",NA,1,FALSE,"Mid1_Instructor","a89624b2-77dd-45b7-b8c4-b8683ad23fa0","Mid1_Survey_0722",NA,"learnosity-activity","mcq","My instructor seems to believe that students can learn new things, but they can't really change their basic intelligence.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"12","College / Statistics and Data Science (ABC)","v4.0","Chapter 4 - Explaining Variation","4.13 Quantifying the Data Generating Process","tv1_2",NA,1,FALSE,"Mid1_Instructor","09e7b579-f8b7-4440-a715-66939c1e8afb","Mid1_Survey_0722",NA,"learnosity-activity","mcq","My instructor demonstrates how what we are learning is useful.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"13","College / Statistics and Data Science (ABC)","v4.0","Chapter 4 - Explaining Variation","4.13 Quantifying the Data Generating Process","tv2_2",NA,1,FALSE,"Mid1_Instructor","1e12d639-ef0e-4ba1-8f48-9d3ca0925762","Mid1_Survey_0722",NA,"learnosity-activity","mcq","My instructor explains how what we are learning may be important.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"14","College / Statistics and Data Science (ABC)","v4.0","Chapter 4 - Explaining Variation","4.13 Quantifying the Data Generating Process","f1_2",NA,1,FALSE,"Mid1_Intent","9357d6fd-2021-451c-868a-9f340b6061cc","Mid1_Survey_0722",NA,"learnosity-activity","mcq","I look forward to learning more about math, statistics, or data science.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"15","College / Statistics and Data Science (ABC)","v4.0","Chapter 4 - Explaining Variation","4.13 Quantifying the Data Generating Process","f2_2",NA,1,FALSE,"Mid1_Intent","e4e496a6-4498-446a-a67b-9b721c62442b","Mid1_Survey_0722",NA,"learnosity-activity","mcq","I want to take more math, statistics, or data science classes in the future.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"16","College / Statistics and Data Science (ABC)","v4.0","Chapter 4 - Explaining Variation","4.13 Quantifying the Data Generating Process","f3_2",NA,1,FALSE,"Mid1_Intent","a4e2c46c-314b-4816-86f7-88696b12767f","Mid1_Survey_0722",NA,"learnosity-activity","mcq","I would be interested in having a job someday that involves things like math, science, statistics, or data science.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"17","College / Statistics and Data Science (ABC)","v4.0","Chapter 4 - Explaining Variation","4.13 Quantifying the Data Generating Process","ms1_2",NA,1,FALSE,"Mid1_Mindset","681e59d6-bd71-4036-aed3-a8357925c040","Mid1_Survey_0722",NA,"learnosity-activity","mcq","You can learn new things, but you can't really change your basic math ability.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"18","College / Statistics and Data Science (ABC)","v4.0","Chapter 4 - Explaining Variation","4.13 Quantifying the Data Generating Process","ms2_2",NA,1,FALSE,"Mid1_Mindset","df8ee686-c501-49c2-ba23-6fd29c354233","Mid1_Survey_0722",NA,"learnosity-activity","mcq","My math ability is something about me that I can't change very much.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"19","College / Statistics and Data Science (ABC)","v4.0","Chapter 4 - Explaining Variation","4.13 Quantifying the Data Generating Process","uv_d1_2",NA,1,FALSE,"Mid1_Values1","d6630f60-e352-42b9-a174-fc428f213636","Mid1_Survey_0722",NA,"learnosity-activity","mcq","What we learn in this class is relevant to my everyday life.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"20","College / Statistics and Data Science (ABC)","v4.0","Chapter 4 - Explaining Variation","4.13 Quantifying the Data Generating Process","uv_f1_2",NA,1,FALSE,"Mid1_Values1","92039d19-9ab2-4ef3-8c8f-e4f9c3336554","Mid1_Survey_0722",NA,"learnosity-activity","mcq","What I'm learning in this class will be useful in the future.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"21","College / Statistics and Data Science (ABC)","v4.0","Chapter 4 - Explaining Variation","4.13 Quantifying the Data Generating Process","uv_j1_2",NA,1,FALSE,"Mid1_Values1","f09a8596-ca2b-490d-8d2a-268589af71b5","Mid1_Survey_0722",NA,"learnosity-activity","mcq","Good grades in this class will improve my job and career chances.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"22","College / Statistics and Data Science (ABC)","v4.0","Chapter 4 - Explaining Variation","4.13 Quantifying the Data Generating Process","uv1_2",NA,1,FALSE,"Mid1_Values1","9e880af9-a161-4321-af47-2d6bd938813b","Mid1_Survey_0722",NA,"learnosity-activity","mcq","This class is useful.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"23","College / Statistics and Data Science (ABC)","v4.0","Chapter 4 - Explaining Variation","4.13 Quantifying the Data Generating Process","ia1_2",NA,1,FALSE,"Mid1_Values2","fb6a8c85-1bbe-43b2-b94d-eb2c798e09fc","Mid1_Survey_0722",NA,"learnosity-activity","mcq","Performing well in this class is important to me.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"24","College / Statistics and Data Science (ABC)","v4.0","Chapter 4 - Explaining Variation","4.13 Quantifying the Data Generating Process","iv1_2",NA,1,FALSE,"Mid1_Values2","61fdc7aa-8f32-44ac-8471-aeef9bcf154c","Mid1_Survey_0722",NA,"learnosity-activity","mcq","I think this class is interesting.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"25","College / Statistics and Data Science (ABC)","v4.0","Chapter 4 - Explaining Variation","4.13 Quantifying the Data Generating Process","iv2_2",NA,1,FALSE,"Mid1_Values2","21da7a86-1d34-4c12-9254-aba0ff52e029","Mid1_Survey_0722",NA,"learnosity-activity","mcq","I like this class.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"26","College / Statistics and Data Science (ABC)","v4.0","Chapter 4 - Explaining Variation","4.13 Quantifying the Data Generating Process","pi1_2",NA,1,FALSE,"Mid1_Values2","24504f70-ad71-4314-b907-112dd4c13b38","Mid1_Survey_0722",NA,"learnosity-activity","mcq","This class is important to me personally.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"27","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.10 Limitations to Keep in Mind","bcol1_3",NA,1,FALSE,"Mid2_Belonging1","6192b7c5-831d-4edc-826e-92f439088653","Mid2_Survey_0722",NA,"learnosity-activity","mcq","I feel like this school is a good fit for me.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"28","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.10 Limitations to Keep in Mind","bun2_3",NA,1,FALSE,"Mid2_Belonging1","0f5ea344-f5b1-40bc-9852-148b55a77039","Mid2_Survey_0722",NA,"learnosity-activity","mcq","Sometimes I feel that I belong at this school, and sometimes I feel that I don't belong at this school.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"29","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.10 Limitations to Keep in Mind","anx_ma_3",NA,1,FALSE,"Mid2_Concerns","4bfb9795-3663-4e46-ae84-5300bd25a251","Mid2_Survey_0722",NA,"learnosity-activity","mcq","In general, I tend to feel very anxious about mathematics.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"30","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.10 Limitations to Keep in Mind","conf_3",NA,1,FALSE,"Mid2_Confidence","b19cca82-9bd9-4f01-9748-b01a97eb54a6","Mid2_Survey_0722",NA,"learnosity-activity","mcq","How confident are you in your R skills?","Not at all confident","Only a little confident","Somewhat confident","Mostly confident","Completely confident","",NA,"","",NA,NA,NA
"31","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.10 Limitations to Keep in Mind","cost2_3",NA,1,FALSE,"Mid2_Cost","9e3baec3-6bca-42f6-b6ec-8112de900ce5","Mid2_Survey_0722",NA,"learnosity-activity","mcq","I have to give up too much to do well in this course.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"32","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.10 Limitations to Keep in Mind","cost3_3",NA,1,FALSE,"Mid2_Cost","42cb0246-fb4d-472d-aca9-d05dfb354587","Mid2_Survey_0722",NA,"learnosity-activity","mcq","This course is too stressful for me.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"33","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.10 Limitations to Keep in Mind","exp1_3",NA,1,FALSE,"Mid2_Expectancy","803f5b19-3fcd-4eca-9c0e-cde4b51e8837","Mid2_Survey_0722",NA,"learnosity-activity","mcq","I am confident I can learn the material in this course.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"34","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.10 Limitations to Keep in Mind","exp2_3",NA,1,FALSE,"Mid2_Expectancy","97616f26-1ee3-4f86-9285-67e2e315b13a","Mid2_Survey_0722",NA,"learnosity-activity","mcq","I expect to do well in this class.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"35","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.10 Limitations to Keep in Mind","tv1_3",NA,1,FALSE,"Mid2_Instructor","2e425896-e750-4152-9d39-81f61dbb27df","Mid2_Survey_0722",NA,"learnosity-activity","mcq","My instructor demonstrates how what we are learning is useful.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"36","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.10 Limitations to Keep in Mind","tv2_3",NA,1,FALSE,"Mid2_Instructor","8a4e45e2-86e3-448a-bd00-f1f1d2fca890","Mid2_Survey_0722",NA,"learnosity-activity","mcq","My instructor explains how what we are learning may be important.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"37","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.10 Limitations to Keep in Mind","f1_3",NA,1,FALSE,"Mid2_Intent_v2","1be68816-3a1e-4d44-874e-ca82e5d687d1","Mid2_Survey_0722",NA,"learnosity-activity","mcq","I look forward to learning more about math, statistics, or data science.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"38","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.10 Limitations to Keep in Mind","f2_3",NA,1,FALSE,"Mid2_Intent_v2","6a5bef43-cb12-47e8-a56f-50fdde7b2618","Mid2_Survey_0722",NA,"learnosity-activity","mcq","I want to take more math, statistics, or data science classes in the future.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"39","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.10 Limitations to Keep in Mind","f3_3",NA,1,FALSE,"Mid2_Intent_v2","c1d68798-8003-4097-a0c2-5ca08eb2efd6","Mid2_Survey_0722",NA,"learnosity-activity","mcq","I would be interested in having a job someday that involves things like math, science, statistics, or data science.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"40","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.10 Limitations to Keep in Mind","ms1_3",NA,1,FALSE,"Mid2_Mindset","8c924545-60d4-4aee-9173-372a8a307f74","Mid2_Survey_0722",NA,"learnosity-activity","mcq","You can learn new things, but you can't really change your basic math ability.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"41","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.10 Limitations to Keep in Mind","ms2_3",NA,1,FALSE,"Mid2_Mindset","0eb2130a-5219-4861-bfb6-0edd0d37f2e6","Mid2_Survey_0722",NA,"learnosity-activity","mcq","My math ability is something about me that I can't change very much.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"42","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.10 Limitations to Keep in Mind","uv_d1_3",NA,1,FALSE,"Mid2_Values1","a593f7a8-37c1-43ec-b68f-61aa3ed89576","Mid2_Survey_0722",NA,"learnosity-activity","mcq","What we learn in this class is relevant to my everyday life.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"43","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.10 Limitations to Keep in Mind","uv_f1_3",NA,1,FALSE,"Mid2_Values1","1b56c975-62d0-459b-8c8d-021754c1b066","Mid2_Survey_0722",NA,"learnosity-activity","mcq","What I'm learning in this class will be useful in the future.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"44","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.10 Limitations to Keep in Mind","uv_j1_3",NA,1,FALSE,"Mid2_Values1","c76439f7-4d52-425d-a6d8-8deef2089d28","Mid2_Survey_0722",NA,"learnosity-activity","mcq","Good grades in this class will improve my job and career chances.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"45","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.10 Limitations to Keep in Mind","uv1_3",NA,1,FALSE,"Mid2_Values1","bb650d89-2b7b-425f-ac0c-aa89a3997d18","Mid2_Survey_0722",NA,"learnosity-activity","mcq","This class is useful.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"46","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.10 Limitations to Keep in Mind","ia1_3",NA,1,FALSE,"Mid2_Values2","7eb39a86-50e9-43e7-bde1-57f9a844f310","Mid2_Survey_0722",NA,"learnosity-activity","mcq","Performing well in this class is important to me.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"47","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.10 Limitations to Keep in Mind","iv1_3",NA,1,FALSE,"Mid2_Values2","ddcef5cf-e144-4fde-aea6-c3fd1595cd5a","Mid2_Survey_0722",NA,"learnosity-activity","mcq","I think this class is interesting.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"48","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.10 Limitations to Keep in Mind","iv2_3",NA,1,FALSE,"Mid2_Values2","629490c9-9690-4b0d-9a7b-bbbdcc3ce867","Mid2_Survey_0722",NA,"learnosity-activity","mcq","I like this class.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"49","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.10 Limitations to Keep in Mind","pi1_3",NA,1,FALSE,"Mid2_Values2","6a0fb71a-e8d2-4aeb-8511-41fb8ee04953","Mid2_Survey_0722",NA,"learnosity-activity","mcq","This class is important to me personally.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"50","College / Statistics and Data Science (ABC)","v4.0","Finishing Up (Don't Skip This Part!)","End of Course Survey (Required)","advice_4",NA,1,FALSE,"Post_Attitudes","056f41aa-94f2-4ffe-8220-829c03341869","Post_Survey_0722",NA,"learnosity-activity","plaintext","What advice would you give to future students who want to do well in this course?","","","","","","",NA,"","",NA,NA,NA
"51","College / Statistics and Data Science (ABC)","v4.0","Finishing Up (Don't Skip This Part!)","End of Course Survey (Required)","chall_4",NA,1,FALSE,"Post_Attitudes","0455864e-9196-40b3-a49b-6b7c21d9f6a4","Post_Survey_0722",NA,"learnosity-activity","mcq","This course was challenging.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"52","College / Statistics and Data Science (ABC)","v4.0","Finishing Up (Don't Skip This Part!)","End of Course Survey (Required)","learn_4",NA,1,FALSE,"Post_Attitudes","e0b71bf7-1b7d-4cec-a9f9-f7fd0bce9adc","Post_Survey_0722",NA,"learnosity-activity","mcq","I learned a lot from this course.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"53","College / Statistics and Data Science (ABC)","v4.0","Finishing Up (Don't Skip This Part!)","End of Course Survey (Required)","mem_4",NA,1,FALSE,"Post_Attitudes","460b6da5-03bb-4f75-a4fa-5005950e8b3c","Post_Survey_0722",NA,"learnosity-activity","mcq","This course required a lot of memorization.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"54","College / Statistics and Data Science (ABC)","v4.0","Finishing Up (Don't Skip This Part!)","End of Course Survey (Required)","prep_4",NA,1,FALSE,"Post_Attitudes","2100aeeb-01b6-4d87-96f8-925d8ca7b683","Post_Survey_0722",NA,"learnosity-activity","mcq","I had the math preparation needed to succeed in this course.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"55","College / Statistics and Data Science (ABC)","v4.0","Finishing Up (Don't Skip This Part!)","End of Course Survey (Required)","recomm_4",NA,1,FALSE,"Post_Attitudes","9a588c52-2000-4b12-9195-488a674b2321","Post_Survey_0722",NA,"learnosity-activity","mcq","I think other instructors should use this book for teaching statistics.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"56","College / Statistics and Data Science (ABC)","v4.0","Finishing Up (Don't Skip This Part!)","End of Course Survey (Required)","underst_4",NA,1,FALSE,"Post_Attitudes","3e96273d-7f1f-4ce1-ae4a-d06dd7ccc5a3","Post_Survey_0722",NA,"learnosity-activity","mcq","This course required deep thinking and understanding of concepts.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"57","College / Statistics and Data Science (ABC)","v4.0","Finishing Up (Don't Skip This Part!)","End of Course Survey (Required)","bcol1_4",NA,1,FALSE,"Post_Belonging1","d53f64fa-5b02-4e13-aa4a-2983897f9dbc","Post_Survey_0722",NA,"learnosity-activity","mcq","I feel like this school is a good fit for me.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"58","College / Statistics and Data Science (ABC)","v4.0","Finishing Up (Don't Skip This Part!)","End of Course Survey (Required)","bun1_4",NA,1,FALSE,"Post_Belonging1","d738fdcc-253e-4de2-b5b8-b160930355a5","Post_Survey_0722",NA,"learnosity-activity","mcq","When something bad happens, I feel that maybe I don't belong at this school.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"59","College / Statistics and Data Science (ABC)","v4.0","Finishing Up (Don't Skip This Part!)","End of Course Survey (Required)","bun2_4",NA,1,FALSE,"Post_Belonging1","dd9125cf-2cb5-46bb-8f9c-d1028fb4b002","Post_Survey_0722",NA,"learnosity-activity","mcq","Sometimes I feel that I belong at this school, and sometimes I feel that I don't belong at this school.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"60","College / Statistics and Data Science (ABC)","v4.0","Finishing Up (Don't Skip This Part!)","End of Course Survey (Required)","bcl1_4",NA,1,FALSE,"Post_Belonging2","1c512644-afc4-4454-80f6-3e4dba25fe2b","Post_Survey_0722",NA,"learnosity-activity","mcq","I matter as a student in this class.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"61","College / Statistics and Data Science (ABC)","v4.0","Finishing Up (Don't Skip This Part!)","End of Course Survey (Required)","bcl2_4",NA,1,FALSE,"Post_Belonging2","5b7f8cdb-5a51-4207-a72e-d94261aec048","Post_Survey_0722",NA,"learnosity-activity","mcq","I belong in this class.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"62","College / Statistics and Data Science (ABC)","v4.0","Finishing Up (Don't Skip This Part!)","End of Course Survey (Required)","anx_ma_4",NA,1,FALSE,"Post_Concerns","463c72c5-98e8-48e3-aa80-ea549637eec8","Post_Survey_0722",NA,"learnosity-activity","mcq","In general, I tend to feel very anxious about mathematics.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"63","College / Statistics and Data Science (ABC)","v4.0","Finishing Up (Don't Skip This Part!)","End of Course Survey (Required)","obst_4",NA,1,FALSE,"Post_Concerns","be8cab35-7cc2-409b-a56c-de276b051661","Post_Survey_0722",NA,"learnosity-activity","plaintext","What, if anything, made it hard to succeed in this class?","","","","","","",NA,"","",NA,NA,NA
"64","College / Statistics and Data Science (ABC)","v4.0","Finishing Up (Don't Skip This Part!)","End of Course Survey (Required)","conf_4",NA,1,FALSE,"Post_Confidence","03b8224a-03c3-4d24-8317-8dad466e520c","Post_Survey_0722",NA,"learnosity-activity","mcq","How confident are you in your R skills?","Not at all confident","Only a little confident","Somewhat confident","Mostly confident","Completely confident","",NA,"","",NA,NA,NA
